No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1769893923.7286937,0,1,0.0188,0.0328,0.0067,0.0249,1.9439,3.2759,2.4947,0.0,0.0,0.0,2.92,1.18,1.73,None,0.00022029876708984375,12.009,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,9.0,6.5,16.5,0.0769,0.0833,0.04,0.049,2068.0529329825104,10.0,2078.0529329825104,0.9635435322661865,0,2,0
0,1769893923.729442,0.0,1,0.0188,0.0328,0.0067,0.0249,1.9439,3.2759,2.4947,0.0,0.0,0.0,4.97,2.28,2.69,None,0.00022029876708984375,10.437,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,9.0,6.5,16.5,0.0769,0.0833,0.04,0.049,2068.0529329825104,10.0,2078.0529329825104,0.9635435322661865,0,2,0
0,1769893923.7596679,0.0,2,0.0411,0.0328,0.0132,0.0249,4.3922,3.2759,2.4947,0.0,0.0,0.0,3.41,1.18,2.23,None,0.05423784255981445,10.635,True,None,sfc_cache_p2_1,0,None,4.33,4,33.0,5,4,0,0,0,False,100.0,10.1675,3.25,8.25,0.0714,0.0833,0.0385,0.0492,2081.2107258938245,20.0,2101.2107258938245,0.9514722147620283,0,4,0
0,1769893923.760843,0.0,2,0.0411,0.0328,0.0132,0.0249,4.3922,3.2759,2.4947,0.0,0.0,0.0,6.95,3.27,3.68,None,0.05423784255981445,10.417,True,None,sfc_unique_p2_1,0,None,4.33,4,33.0,5,4,0,0,0,False,100.0,10.1675,3.25,8.25,0.0714,0.0833,0.0385,0.0492,2081.2107258938245,20.0,2101.2107258938245,0.9514722147620283,0,4,0
0,1769893923.785864,0.1,3,0.0453,0.0773,0.0199,0.0249,4.9322,7.7286,2.4947,0.0,0.0,0.0,2.92,1.18,1.73,None,0.08558869361877441,10.444,True,None,sfc_cache_p3_1,0,None,8.66,8,66.0,9,6,0,0,0,False,100.0,7.611666666666667,5.111666666666667,5.5,0.0667,0.0833,0.037,0.0491,2122.4771707166074,30.0,2152.4771707166074,0.9395703007234172,0,6,0
0,1769893923.7864552,0.1,3,0.0453,0.0773,0.0199,0.0249,4.9322,7.7286,2.4947,0.0,0.0,0.0,3.92,1.23,2.69,None,0.08558869361877441,10.375,True,None,sfc_unique_p3_1,0,None,8.66,8,66.0,9,6,0,0,0,False,100.0,7.611666666666667,5.111666666666667,5.5,0.0667,0.0833,0.037,0.0491,2122.4771707166074,30.0,2152.4771707166074,0.9395703007234172,0,6,0
0,1769893923.8155441,0.1,4,0.0571,0.1,0.0266,0.0249,6.4085,9.9965,2.4947,0.0,0.0,0.0,2.83,1.18,1.65,None,0.11118459701538086,10.625,True,None,sfc_cache_p4_1,0,None,12.99,12,99.0,13,8,0,0,0,False,100.0,7.4175,4.95875,4.125,0.0625,0.0833,0.0357,0.0491,2151.9942733323014,40.0,2191.9942733323014,0.9276922531102942,8,0,0
0,1769893923.8161485,0.1,4,0.0571,0.1,0.0266,0.0249,6.4085,9.9965,2.4947,0.0,0.0,0.0,4.81,2.28,2.53,None,0.11118459701538086,10.499,True,None,sfc_unique_p4_1,0,None,12.99,12,99.0,13,8,0,0,0,False,100.0,7.4175,4.95875,4.125,0.0625,0.0833,0.0357,0.0491,2151.9942733323014,40.0,2191.9942733323014,0.9276922531102942,8,0,0
0,1769893923.8445287,0.1,5,0.0776,0.1,0.0332,0.0249,8.8568,9.9965,2.4947,0.0,0.0,0.0,2.92,1.18,1.73,None,0.1408994197845459,10.639,True,None,sfc_cache_p5_1,0,None,17.32,16,132.0,17,10,0,0,0,False,100.0,8.201,3.967,3.3,0.0588,0.0833,0.0345,0.0492,2175.6783005726666,50.0,2225.6783005726666,0.9157983591062167,10,0,0
0,1769893923.8451247,0.1,5,0.0776,0.1,0.0332,0.0249,8.8568,9.9965,2.4947,0.0,0.0,0.0,5.97,3.27,2.69,None,0.1408994197845459,10.374,True,None,sfc_unique_p5_1,0,None,17.32,16,132.0,17,10,0,0,0,False,100.0,8.201,3.967,3.3,0.0588,0.0833,0.0345,0.0492,2175.6783005726666,50.0,2225.6783005726666,0.9157983591062167,10,0,0
0,1769893923.8661885,0.1,6,0.0962,0.1,0.0371,0.0249,11.305,9.9965,2.4947,0.0,0.0,0.0,2.79,1.18,1.61,None,0.16980743408203125,10.002,True,None,sfc_cache_p6_1,0,None,21.65,20,165.0,20,12,0,0,0,False,100.0,8.723333333333334,3.3058333333333336,2.75,0.0556,0.0833,0.0333,0.0498,2180.0,60.0,2240.0,0.9063535603270148,11,1,0
0,1769893923.8665807,0.1,6,0.0962,0.1,0.0371,0.0249,11.305,9.9965,2.4947,0.0,0.0,0.0,6.32,4.27,2.05,None,0.16980743408203125,6.356,True,None,sfc_unique_p6_1,0,None,21.65,20,165.0,20,12,0,0,0,False,100.0,8.723333333333334,3.3058333333333336,2.75,0.0556,0.0833,0.0333,0.0498,2180.0,60.0,2240.0,0.9063535603270148,11,1,0
0,1769893952.736502,29.0,6,0.1144,0.1226,0.0442,0.0499,13.6809,12.2644,4.9894,0.0,0.0,0.0,3.25,2.17,1.08,None,0.0002853870391845703,11.441,True,None,sfc_cache_p1_2,0,None,21.65,20,165.0,21,14,0,0,0,False,100.0,9.04857142857143,3.4764285714285714,4.714285714285714,0.0526,0.0833,0.0556,0.0558,2180.0,70.0,2250.0,0.8902632883432773,14,0,0
0,1769893952.7369022,29.0,6,0.1144,0.1226,0.0442,0.0499,13.6809,12.2644,4.9894,0.0,0.0,0.0,4.04,2.28,1.75,None,0.0002853870391845703,6.369,True,None,sfc_unique_p1_2,0,None,21.65,20,165.0,21,14,0,0,0,False,100.0,9.04857142857143,3.4764285714285714,4.714285714285714,0.0526,0.0833,0.0556,0.0558,2180.0,70.0,2250.0,0.8902632883432773,14,0,0
0,1769893952.7664757,29.0,7,0.1275,0.1562,0.0565,0.0748,15.5892,15.6234,7.4841,0.0,0.0,0.0,3.38,1.52,1.86,None,0.026035070419311523,10.994,True,None,sfc_cache_p2_2,0,None,21.65,20,165.0,23,16,0,0,0,False,100.0,9.021875,3.875,6.1875,0.0623,0.1309,0.0788,0.0673,2211.7864881597275,80.0,2291.7864881597275,0.8772596176233919,16,0,0
0,1769893952.7669036,29.0,7,0.1275,0.1562,0.0565,0.0748,15.5892,15.6234,7.4841,0.0,0.0,0.0,5.89,2.08,3.81,None,0.026035070419311523,7.903,True,None,sfc_unique_p2_2,0,None,21.65,20,165.0,23,16,0,0,0,False,100.0,9.021875,3.875,6.1875,0.0623,0.1309,0.0788,0.0673,2211.7864881597275,80.0,2291.7864881597275,0.8772596176233919,16,0,0
0,1769893952.7963421,29.1,8,0.1466,0.1604,0.0626,0.0748,18.3248,16.0442,7.4841,0.0,0.0,0.0,2.86,1.46,1.4,None,0.05601000785827637,10.964,True,None,sfc_cache_p3_2,0,None,25.65,20,198.0,26,18,0,0,0,False,100.0,9.426666666666668,3.5372222222222223,5.5,0.0754,0.1297,0.0764,0.0708,2226.488159727596,90.0,2316.488159727596,0.8649167978085868,18,0,0
0,1769893952.7967777,29.1,8,0.1466,0.1604,0.0626,0.0748,18.3248,16.0442,7.4841,0.0,0.0,0.0,5.29,2.9,2.39,None,0.05601000785827637,9.831,True,None,sfc_unique_p3_2,0,None,25.65,20,198.0,26,18,0,0,0,False,100.0,9.426666666666668,3.5372222222222223,5.5,0.0754,0.1297,0.0764,0.0708,2226.488159727596,90.0,2316.488159727596,0.8649167978085868,18,0,0
0,1769893952.8244634,29.1,9,0.1526,0.1907,0.0705,0.0748,19.4771,19.0681,7.4841,0.0,0.0,0.0,3.78,1.92,1.86,None,0.08584427833557129,9.344,True,None,sfc_cache_p4_2,0,None,33.98,20,231.0,30,20,0,0,0,False,100.0,9.0175,3.7835,4.95,0.0771,0.1696,0.0742,0.0717,2253.0773100139295,100.0,2353.0773100139295,0.8514816263943654,20,0,0
0,1769893952.8248978,29.1,9,0.1526,0.1907,0.0705,0.0748,19.4771,19.0681,7.4841,0.0,0.0,0.0,4.38,1.07,3.31,None,0.08584427833557129,6.637,True,None,sfc_unique_p4_2,0,None,33.98,20,231.0,30,20,0,0,0,False,100.0,9.0175,3.7835,4.95,0.0771,0.1696,0.0742,0.0717,2253.0773100139295,100.0,2353.0773100139295,0.8514816263943654,20,0,0
0,1769893952.8429558,29.1,10,0.1649,0.2033,0.0799,0.0748,21.3854,20.3281,7.4841,0.0,0.0,0.0,3.32,1.47,1.86,None,0.11394429206848145,6.935,True,None,sfc_cache_p5_2,0,None,42.31,20,264.0,34,22,0,0,0,False,100.0,9.000909090909092,3.666818181818182,4.5,0.0799,0.1828,0.0721,0.071,2278.3090852809164,110.0,2388.3090852809164,0.8329362266267744,22,0,0
0,1769893952.8433955,29.1,10,0.1649,0.2033,0.0799,0.0748,21.3854,20.3281,7.4841,0.0,0.0,0.0,5.29,1.98,3.31,None,0.11394429206848145,6.407,True,None,sfc_unique_p5_2,0,None,42.31,20,264.0,34,22,0,0,0,False,100.0,9.000909090909092,3.666818181818182,4.5,0.0799,0.1828,0.0721,0.071,2278.3090852809164,110.0,2388.3090852809164,0.8329362266267744,22,0,0
0,1769893952.8623385,29.1,11,0.1787,0.2184,0.0888,0.0748,23.6533,21.84,7.4841,0.0,0.0,0.0,2.63,1.01,1.62,None,0.13236403465270996,6.636,True,None,sfc_cache_p6_2,0,None,46.31,20,297.0,37,24,0,0,0,False,100.0,9.125833333333334,3.61125,4.125,0.0809,0.199,0.0701,0.0722,2306.757854821235,120.0,2426.757854821235,0.8154153912110774,24,0,0
0,1769893952.863202,29.1,11,0.1787,0.2184,0.0888,0.0748,23.6533,21.84,7.4841,0.0,0.0,0.0,5.2,2.9,2.3,None,0.13236403465270996,6.62,True,None,sfc_unique_p6_2,0,None,46.31,20,297.0,37,24,0,0,0,False,100.0,9.125833333333334,3.61125,4.125,0.0809,0.199,0.0701,0.0722,2306.757854821235,120.0,2426.757854821235,0.8154153912110774,24,0,0
0,1769893970.7680984,47.0,11,0.1989,0.2184,0.0943,0.0998,27.0012,21.84,9.9788,0.0,0.0,0.0,7.47,5.14,2.33,None,0.0002410411834716797,11.529,True,None,sfc_cache_p1_3,0,None,46.31,20,297.0,37,26,0,0,0,False,100.0,9.616153846153846,3.3334615384615387,5.076923076923077,0.1049,0.199,0.0951,0.0857,2329.6606562451634,130.0,2459.6606562451634,0.8238480193665377,25,0,1
0,1769893970.7688768,47.0,11,0.1989,0.2184,0.0943,0.0998,27.0012,21.84,9.9788,0.0,0.0,0.0,8.45,5.16,3.29,None,0.0002410411834716797,11.245,True,None,sfc_unique_p1_3,0,None,46.31,20,297.0,37,26,0,0,0,False,100.0,9.616153846153846,3.3334615384615387,5.076923076923077,0.1049,0.199,0.0951,0.0857,2329.6606562451634,130.0,2459.6606562451634,0.8238480193665377,25,0,1
0,1769893970.804018,47.1,12,0.2116,0.2184,0.1009,0.0998,29.4494,21.84,9.9788,0.0,0.0,0.0,7.29,5.14,2.15,None,0.03228569030761719,11.082,True,None,sfc_cache_p2_3,0,None,54.64,20,330.0,40,28,0,0,0,False,100.0,9.738928571428572,3.095357142857143,4.714285714285714,0.1029,0.199,0.0926,0.0965,2331.449941959449,140.0,2471.449941959449,0.8166592048002368,26,0,2
0,1769893970.8047776,47.1,12,0.2116,0.2184,0.1009,0.0998,29.4494,21.84,9.9788,0.0,0.0,0.0,6.23,2.9,3.34,None,0.03228569030761719,11.184,True,None,sfc_unique_p2_3,0,None,54.64,20,330.0,40,28,0,0,0,False,100.0,9.738928571428572,3.095357142857143,4.714285714285714,0.1029,0.199,0.0926,0.0965,2331.449941959449,140.0,2471.449941959449,0.8166592048002368,26,0,2
0,1769893970.8378847,47.1,13,0.2259,0.2184,0.1068,0.0998,31.8977,21.84,9.9788,0.0,0.0,0.0,7.66,5.14,2.52,None,0.06816577911376953,11.725,True,None,sfc_cache_p3_3,0,None,62.97,20,363.0,44,30,0,0,0,False,100.0,9.845333333333334,2.8890000000000002,4.4,0.1167,0.199,0.0902,0.1109,2353.380656245163,150.0,2503.380656245163,0.8237479244802209,26,4,0
0,1769893970.838697,47.1,13,0.2259,0.2184,0.1068,0.0998,31.8977,21.84,9.9788,0.0,0.0,0.0,10.78,6.93,3.85,None,0.06816577911376953,11.192,True,None,sfc_unique_p3_3,0,None,62.97,20,363.0,44,30,0,0,0,False,100.0,9.845333333333334,2.8890000000000002,4.4,0.1167,0.199,0.0902,0.1109,2353.380656245163,150.0,2503.380656245163,0.8237479244802209,26,4,0
0,1769893970.8601923,47.1,14,0.2362,0.2268,0.1186,0.0998,33.9863,22.6792,9.9788,0.0,0.0,0.0,7.79,5.14,2.65,None,0.10207104682922363,6.672,True,None,sfc_cache_p4_3,0,None,71.3,20,396.0,48,32,0,0,0,False,100.0,9.834375,2.8125,4.125,0.1181,0.212,0.088,0.1333,2371.1063705308775,160.0,2531.1063705308775,0.8267210361928643,32,0,0
0,1769893970.8606582,47.1,14,0.2362,0.2268,0.1186,0.0998,33.9863,22.6792,9.9788,0.0,0.0,0.0,9.68,5.24,4.45,None,0.10207104682922363,6.669,True,None,sfc_unique_p4_3,0,None,71.3,20,396.0,48,32,0,0,0,False,100.0,9.834375,2.8125,4.125,0.1181,0.212,0.088,0.1333,2371.1063705308775,160.0,2531.1063705308775,0.8267210361928643,32,0,0
0,1769893970.893002,47.2,15,0.245,0.2352,0.1309,0.0998,36.075,23.5183,9.9788,0.0,0.0,0.0,7.79,5.14,2.65,None,0.12362885475158691,11.431,True,None,sfc_cache_p5_3,0,None,79.63,20,429.0,52,34,0,0,0,False,100.0,9.824705882352943,2.745,3.8823529411764706,0.1144,0.2179,0.0858,0.1456,2379.223921993499,170.0,2549.223921993499,0.8198496118888317,34,0,0
0,1769893970.893778,47.2,15,0.245,0.2352,0.1309,0.0998,36.075,23.5183,9.9788,0.0,0.0,0.0,9.13,4.38,4.75,None,0.12362885475158691,11.748,True,None,sfc_unique_p5_3,0,None,79.63,20,429.0,52,34,0,0,0,False,100.0,9.824705882352943,2.745,3.8823529411764706,0.1144,0.2179,0.0858,0.1456,2379.223921993499,170.0,2549.223921993499,0.8198496118888317,34,0,0
0,1769893970.9263337,47.2,16,0.246,0.2906,0.1466,0.1247,37.047,29.0621,12.4735,0.0,0.0,0.0,4.65,1.89,2.75,None,0.15694046020507812,11.786,True,None,sfc_cache_p6_3,0,None,79.63,20,429.0,54,36,0,0,0,False,100.0,9.52888888888889,3.203611111111111,4.583333333333333,0.1119,0.2436,0.0886,0.1521,2419.7029128617864,180.0,2599.7029128617864,0.8081149785255085,36,0,0
0,1769893970.9267912,47.2,16,0.246,0.2906,0.1466,0.1247,37.047,29.0621,12.4735,0.0,0.0,0.0,5.24,1.56,3.68,None,0.15694046020507812,12.353,True,None,sfc_unique_p6_3,0,None,79.63,20,429.0,54,36,0,0,0,False,100.0,9.52888888888889,3.203611111111111,4.583333333333333,0.1119,0.2436,0.0886,0.1521,2419.7029128617864,180.0,2599.7029128617864,0.8081149785255085,36,0,0
0,1769893991.7880785,68.1,16,0.2487,0.3435,0.1643,0.1497,38.1269,34.3539,14.9682,0.0,0.0,0.0,4.59,2.62,1.97,None,0.00011754035949707031,12.466,True,None,sfc_cache_p1_4,0,None,79.63,20,429.0,54,38,0,0,0,False,100.0,9.290526315789474,3.5876315789473687,5.2105263157894735,0.1123,0.3148,0.0825,0.1683,2460.6821985760716,190.0,2650.6821985760716,0.8031757150446023,38,0,0
0,1769893991.7890208,68.1,16,0.2487,0.3435,0.1643,0.1497,38.1269,34.3539,14.9682,0.0,0.0,0.0,4.94,1.94,3.0,None,0.00011754035949707031,12.537,True,None,sfc_unique_p1_4,0,None,79.63,20,429.0,54,38,0,0,0,False,100.0,9.290526315789474,3.5876315789473687,5.2105263157894735,0.1123,0.3148,0.0825,0.1683,2460.6821985760716,190.0,2650.6821985760716,0.8031757150446023,38,0,0
0,1769893991.9464924,68.2,17,0.2545,0.3847,0.1738,0.1746,39.7112,38.4689,17.463,0.0,0.0,0.0,5.65,4.06,1.59,None,0.03664565086364746,128.377,True,None,sfc_cache_p2_4,0,None,79.63,20,429.0,56,40,0,0,0,False,100.0,9.19275,3.8165,5.775,0.1193,0.3356,0.1026,0.1772,2489.9507700046433,200.0,2689.9507700046433,0.8011448157290675,40,0,0
0,1769893991.9474294,68.2,17,0.2545,0.3847,0.1738,0.1746,39.7112,38.4689,17.463,0.0,0.0,0.0,5.95,3.29,2.65,None,0.03664565086364746,12.477,True,None,sfc_unique_p2_4,0,None,79.63,20,429.0,56,40,0,0,0,False,100.0,9.19275,3.8165,5.775,0.1193,0.3356,0.1026,0.1772,2489.9507700046433,200.0,2689.9507700046433,0.8011448157290675,40,0,0
0,1769893991.9863296,68.3,18,0.2656,0.3847,0.1789,0.1746,42.1595,38.4689,17.463,0.0,0.0,0.0,6.47,4.67,1.8,None,0.1950225830078125,12.578,True,None,sfc_cache_p3_4,0,None,87.96,20,462.0,60,42,0,0,0,False,100.0,9.294761904761904,3.6347619047619046,5.5,0.1276,0.3356,0.1003,0.1821,2510.6686271475,210.0,2720.6686271475,0.7998408098166139,42,0,0
0,1769893991.987262,68.3,18,0.2656,0.3847,0.1789,0.1746,42.1595,38.4689,17.463,0.0,0.0,0.0,9.47,6.21,3.26,None,0.1950225830078125,12.401,True,None,sfc_unique_p3_4,0,None,87.96,20,462.0,60,42,0,0,0,False,100.0,9.294761904761904,3.6347619047619046,5.5,0.1276,0.3356,0.1003,0.1821,2510.6686271475,210.0,2720.6686271475,0.7998408098166139,42,0,0
0,1769893992.0232933,68.3,19,0.2763,0.3847,0.1841,0.1746,44.6078,38.4689,17.463,0.0,0.0,0.0,6.17,4.67,1.5,None,0.23485398292541504,12.507,True,None,sfc_cache_p4_4,0,None,96.29,20,495.0,64,44,0,0,0,False,100.0,9.387500000000001,3.4695454545454543,5.25,0.1279,0.3356,0.0982,0.1845,2516.3829128617863,220.0,2736.3829128617863,0.7968211494792464,44,0,0
0,1769893992.0241609,68.3,19,0.2763,0.3847,0.1841,0.1746,44.6078,38.4689,17.463,0.0,0.0,0.0,8.86,6.21,2.65,None,0.23485398292541504,12.419,True,None,sfc_unique_p4_4,0,None,96.29,20,495.0,64,44,0,0,0,False,100.0,9.387500000000001,3.4695454545454543,5.25,0.1279,0.3356,0.0982,0.1845,2516.3829128617863,220.0,2736.3829128617863,0.7968211494792464,44,0,0
0,1769893992.0535662,68.3,20,0.2762,0.4393,0.2106,0.1996,45.1477,43.9295,19.9577,0.0,0.0,0.0,5.42,2.62,2.8,None,0.27164697647094727,10.266,True,None,sfc_cache_p5_4,0,None,100.62,20,495.0,66,46,0,0,0,False,100.0,9.08804347826087,3.7897826086956523,5.739130434782608,0.1243,0.451,0.1173,0.1867,2552.795488096273,230.0,2782.795488096273,0.7931491311170693,46,0,0
0,1769893992.054079,68.3,20,0.2762,0.4393,0.2106,0.1996,45.1477,43.9295,19.9577,0.0,0.0,0.0,7.43,2.83,4.6,None,0.27164697647094727,7.154,True,None,sfc_unique_p5_4,0,None,100.62,20,495.0,66,46,0,0,0,False,100.0,9.08804347826087,3.7897826086956523,5.739130434782608,0.1243,0.451,0.1173,0.1867,2552.795488096273,230.0,2782.795488096273,0.7931491311170693,46,0,0
0,1769893992.0921276,68.4,21,0.2743,0.5031,0.2343,0.2245,45.7601,50.3125,22.4524,0.0,0.0,0.0,7.48,4.86,2.63,None,0.30123066902160645,13.01,True,None,sfc_cache_p6_4,0,None,100.62,20,495.0,68,48,0,0,0,False,100.0,8.8275,4.159583333333333,6.1875,0.1241,0.4943,0.1351,0.1872,2585.739355144717,240.0,2825.739355144717,0.7874535338661192,48,0,0
0,1769893992.0926943,68.4,21,0.2743,0.5031,0.2343,0.2245,45.7601,50.3125,22.4524,0.0,0.0,0.0,5.23,1.24,3.99,None,0.30123066902160645,11.545,True,None,sfc_unique_p6_4,0,None,100.62,20,495.0,68,48,0,0,0,False,100.0,8.8275,4.159583333333333,6.1875,0.1241,0.4943,0.1351,0.1872,2585.739355144717,240.0,2825.739355144717,0.7874535338661192,48,0,0
0,1769893993.3205662,69.6,21,0.2336,0.4863,0.2124,0.2245,39.1356,48.6317,22.4524,0.0,0.0,0.0,4.22,2.17,2.05,None,2.3126602172851562e-05,13.071,True,None,sfc_cache_p5_2,0,None,79.63,16,396.0,56,42,0,0,0,False,100.0,8.628095238095238,4.595000000000001,7.071428571428571,0.1232,0.4962,0.1351,0.1925,2585.739355144717,240.0,2825.739355144717,0.8112165848052191,42,0,0
0,1769893993.3214731,69.6,21,0.2336,0.4863,0.2124,0.2245,39.1356,48.6317,22.4524,0.0,0.0,0.0,5.92,2.28,3.64,None,2.3126602172851562e-05,12.653,True,None,sfc_unique_p5_2,0,None,79.63,16,396.0,56,42,0,0,0,False,100.0,8.628095238095238,4.595000000000001,7.071428571428571,0.1232,0.4962,0.1351,0.1925,2585.739355144717,240.0,2825.739355144717,0.8112165848052191,42,0,0
0,1769893993.3574238,69.6,21,0.2493,0.4863,0.2193,0.2245,41.5839,48.6317,22.4524,0.0,0.0,0.0,4.16,2.17,1.99,None,0.037552833557128906,13.213,True,None,sfc_cache_p3_2,0,None,87.96,16,429.0,60,44,0,0,0,False,100.0,8.751136363636364,4.386136363636364,6.75,0.1226,0.4962,0.1351,0.193,2585.739355144717,240.0,2825.739355144717,0.8060619103533508,44,0,0
0,1769893993.3582811,69.6,21,0.2493,0.4863,0.2193,0.2245,41.5839,48.6317,22.4524,0.0,0.0,0.0,6.79,3.27,3.52,None,0.037552833557128906,12.701,True,None,sfc_unique_p3_2,0,None,87.96,16,429.0,60,44,0,0,0,False,100.0,8.751136363636364,4.386136363636364,6.75,0.1226,0.4962,0.1351,0.193,2585.739355144717,240.0,2825.739355144717,0.8060619103533508,44,0,0
0,1769893993.3945265,69.7,21,0.2635,0.5006,0.2294,0.2495,44.3194,50.0605,24.9471,0.0,0.0,0.0,3.38,0.6,2.77,None,0.07495856285095215,12.898,True,None,sfc_cache_p1_2,0,None,87.96,16,429.0,62,46,0,0,0,False,100.0,8.921304347826087,4.318695652173913,7.173913043478261,0.1241,0.4945,0.1559,0.1913,2585.739355144717,240.0,2825.739355144717,0.7942297917860192,46,0,0
0,1769893993.39539,69.7,21,0.2635,0.5006,0.2294,0.2495,44.3194,50.0605,24.9471,0.0,0.0,0.0,6.44,2.9,3.54,None,0.07495856285095215,12.827,True,None,sfc_unique_p1_2,0,None,87.96,16,429.0,62,46,0,0,0,False,100.0,8.921304347826087,4.318695652173913,7.173913043478261,0.1241,0.4945,0.1559,0.1913,2585.739355144717,240.0,2825.739355144717,0.7942297917860192,46,0,0
0,1769893993.432428,69.7,21,0.2813,0.509,0.2395,0.2744,47.3077,50.8996,27.4418,0.0,0.0,0.0,5.99,3.32,2.67,None,0.11266255378723145,12.879,True,None,sfc_cache_p2_1,0,None,87.96,16,429.0,64,48,0,0,0,False,100.0,9.126041666666667,4.208125,7.5625,0.1313,0.4934,0.1706,0.191,2599.675665313422,240.0,2839.675665313422,0.7886425206937249,48,0,0
0,1769893993.4333298,69.7,21,0.2813,0.509,0.2395,0.2744,47.3077,50.8996,27.4418,0.0,0.0,0.0,7.11,3.81,3.3,None,0.11266255378723145,13.059,True,None,sfc_unique_p2_1,0,None,87.96,16,429.0,64,48,0,0,0,False,100.0,9.126041666666667,4.208125,7.5625,0.1313,0.4934,0.1706,0.191,2599.675665313422,240.0,2839.675665313422,0.7886425206937249,48,0,0
0,1769893998.3288293,74.6,21,0.2827,0.509,0.2443,0.2994,47.7396,50.8996,29.9365,0.0,0.0,0.0,7.25,4.36,2.89,None,2.8371810913085938e-05,13.231,True,None,sfc_cache_p2_2,0,None,83.96,16,396.0,62,48,0,0,0,False,100.0,9.209375,4.208125,8.25,0.1347,0.4934,0.1911,0.1917,2603.961379599136,240.0,2843.961379599136,0.7886920525039813,48,0,0
0,1769893998.329844,74.6,21,0.2827,0.509,0.2443,0.2994,47.7396,50.8996,29.9365,0.0,0.0,0.0,7.66,3.71,3.95,None,2.8371810913085938e-05,13.014,True,None,sfc_unique_p2_2,0,None,83.96,16,396.0,62,48,0,0,0,False,100.0,9.209375,4.208125,8.25,0.1347,0.4934,0.1911,0.1917,2603.961379599136,240.0,2843.961379599136,0.7886920525039813,48,0,0
0,1769894003.33258,79.6,21,0.2876,0.4788,0.2455,0.2994,48.568,47.8757,29.9365,0.0,0.0,0.0,3.86,1.07,2.79,None,2.7894973754882812e-05,13.54,True,None,sfc_cache_p4_2,0,None,84.29,20,396.0,63,48,0,0,0,False,100.0,9.369166666666667,3.9581250000000003,8.25,0.1344,0.4944,0.1911,0.1877,2603.961379599136,240.0,2843.961379599136,0.7893111073688543,48,0,0
0,1769894003.3335707,79.6,21,0.2876,0.4788,0.2455,0.2994,48.568,47.8757,29.9365,0.0,0.0,0.0,6.47,2.9,3.58,None,2.7894973754882812e-05,12.897,True,None,sfc_unique_p4_2,0,None,84.29,20,396.0,63,48,0,0,0,False,100.0,9.369166666666667,3.9581250000000003,8.25,0.1344,0.4944,0.1911,0.1877,2603.961379599136,240.0,2843.961379599136,0.7893111073688543,48,0,0
0,1769894008.3366354,84.6,21,0.283,0.4863,0.2473,0.2994,47.7764,48.6317,29.9365,0.0,0.0,0.0,3.96,1.92,2.04,None,2.8133392333984375e-05,13.372,True,None,sfc_cache_p6_2,0,None,88.62,20,396.0,63,48,0,0,0,False,100.0,9.216458333333334,4.020625,8.25,0.1347,0.5029,0.1911,0.1816,2621.829743629472,240.0,2861.829743629472,0.7941864631626948,48,0,0
0,1769894008.3375962,84.6,21,0.283,0.4863,0.2473,0.2994,47.7764,48.6317,29.9365,0.0,0.0,0.0,7.3,3.02,4.28,None,2.8133392333984375e-05,13.375,True,None,sfc_unique_p6_2,0,None,88.62,20,396.0,63,48,0,0,0,False,100.0,9.216458333333334,4.020625,8.25,0.1347,0.5029,0.1911,0.1816,2621.829743629472,240.0,2861.829743629472,0.7941864631626948,48,0,0
0,1769894011.8045173,88.1,21,0.2916,0.5166,0.2575,0.3243,49.8283,51.6556,32.4312,0.0,0.0,0.0,6.86,5.01,1.85,None,0.00017499923706054688,7.99,True,None,sfc_cache_p1_5,0,None,88.62,20,396.0,63,50,0,0,0,False,100.0,9.2278,4.0998,8.58,0.1363,0.5056,0.1797,0.1826,2635.5180271769104,250.0,2885.5180271769104,0.7867080638587289,50,0,0
0,1769894011.8050923,88.1,21,0.2916,0.5166,0.2575,0.3243,49.8283,51.6556,32.4312,0.0,0.0,0.0,5.96,2.47,3.49,None,0.00017499923706054688,7.794,True,None,sfc_unique_p1_5,0,None,88.62,20,396.0,63,50,0,0,0,False,100.0,9.2278,4.0998,8.58,0.1363,0.5056,0.1797,0.1826,2635.5180271769104,250.0,2885.5180271769104,0.7867080638587289,50,0,0
